name,id,principal,agent,date formed,status,type,street,city,state,zip
"BLONDIN LAW OFFICE, LLC",1292795,"AUDREY B. BLONDIN, ROSE A. BLONDIN SHEA",ROSE BLONDIN SHEA,12/10/2018,Active,Domestic Limited Liability Company,"379 PROSPECT STREET, SUITE A",TORRINGTON,CT,6790
"BLUE KNIGHTS INTERNATIONAL LAW ENFORCEMENT MOTORCYCLE CLUB, CONNECTICUT CHAPTER II, INC.",289237,"PAUL KRUPINSTI, WILLIAM R. PALMER",ALAN L. ROBERTSON ESQ,08/13/1993,Active,Domestic Non-Stock Corporation,32 CENTER STREET,CANTON,CT,6020
"BODNER SHAPIRO LAW GROUP, LLC",1039121,POLINA BODNER SHAPIRO,POLINA BODNER SHAPIRO,05/26/2011,Active,Domestic Limited Liability Company,"2437 ALBANY AVE., SUITE 201",WEST HARTFORD,CT,6117
BOHONNON LAW FIRM L.L.C.,528485,"DAVID M. BOHONNON, STEVEN A. CLARK",DAVID M. BOHONNON,12/22/1995,Active,Domestic Limited Liability Company,195 CHURCH ST 10TH FLR,NEW HAVEN,CT,6510
BOKSHAN LAW FIRM LLC,921259,EVAN TARAS BOKSHAN,EVAN TARAS BOKSHAN,12/10/2007,Active,Domestic Limited Liability Company,"330 MAIN STREET, 3RD FLOOR",HARTFORD,CT,6106
BOLDUC LAW LLC,1292085,CLARE BOLDUC,CLARE BOLDUC,12/03/2018,Active,Domestic Limited Liability Company,268 MILBANK AVENUE,GREENWICH,CT,6830
"BONEE LAW OFFICES, LLP",564028,,,05/30/1997,Renunciated,Domestic Limited Liability Partnership,"29 SOUTH MAIN ST, SUITE 330",WEST HARTFORD,CT,6107
BOUKNIGHT LAW LLC,1218714,WYCUIE BOUKNIGHT,WYCUIE BOUKNIGHT,10/07/2016,Active,Domestic Limited Liability Company,6 LANDMARK SQUARE 4TH FLOOR,STAMFORD,CT,6901
BOYLE ¨ SHAUGHNESSY LAW PC,1045973,MARK W SHAUGHNESSY,SECRETARY OF THE STATE,08/12/2011,Active,Foreign Stock Corporation,280 TRUMBULL ST 23RD FL,HARTFORD,CT,
"BOZELKO LAW FIRM, P.C. THE",248233,"CHANDRA A. BOZELKO, RONALD F. BOZELKO",RONALD F. BOZELKO,05/18/1990,Active,Domestic Stock Corporation,"657 ORANGE CENTER ROAD, PO BOX 726",ORANGE,CT,6477
"BP FISHER LAW GROUP, LLP",1194388,,BUSINESS FILINGS INCORPORATED,12/31/2015,Active,Foreign Limited Liability Partnership,"174 WATERFRONT STREET, SUITE 400",NATIONAL HARBOR,MD,20745
"BRADLEY LAW GROUP, LLC",1069611,"DENNIS BRADLEY, MARK BRADLEY",DENNIS BRADLEY,04/19/2012,Active,Domestic Limited Liability Company,944 FAIRFIELD AVE.,BRIDGEPORT,CT,6605
"BRANDNER LAW, P.C.",976190,,"NATIONAL REGISTERED AGENTS, INC.",06/30/2009,Dissolved,Domestic Stock Corporation,,,,
BRENNAN LAW FIRM LLC,1056216,JAMES P. BRENNAN,JAMES P. BRENNAN,12/13/2011,Active,Domestic Limited Liability Company,207 BANK STREET 4TH FLOOR SUITE 4A,WATERBURY,CT,6702
"BRETTE LAW, LLC",1020512,BRETTE H. FITTON,BRETTE HOLCOMBE FITTON,11/09/2010,Active,Domestic Limited Liability Company,"147 DENNISON ROAD, SUITE 1, SUITE 1",ESSEX,CT,6426
"BRIA LAW, L.L.C.",1161092,"BRIA LAW, L.L.C.",MARTINA BRIA,11/17/2014,Active,Domestic Limited Liability Company,"TRUMP PARC, 106 CENTRAL PARK SOUTH, #15D",NEW YORK,NY,10019
"BRIAN HOURIHAN LAW OFFICES, LLC",1216950,BRIAN HOURIHAN,BRIAN HOURIHAN,09/15/2016,Active,Domestic Limited Liability Company,67 PHEASANT HILL ROAD,WESTON,CT,6883
"BRIAN J. MURPHY LAW, LLC",1217055,BRIAN J MURPHY,BRIAN J. MURPHY,09/16/2016,Active,Domestic Limited Liability Company,172 EAST CENTER STREET,MANCHESTER,CT,6040
"BRIAN S. NEWMAN, ATTORNEY AND COUNSELOR AT LAW, P.C.",299300,"BRIAN S. NEWMAN, JUDITH WEBER",BRIAN S. NEWMAN,06/09/1994,Active,Domestic Stock Corporation,"191 WEST STAFFORD ROAD, SUITE C",STAFFORD SPRINGS,CT,6076
"BRIGGS LAW FIRM, P.C.",596047,CAROLE W. BRIGGS,"TIMBERS & BRIGGS, P.C.",06/22/1998,Active,Domestic Stock Corporation,33 GAULIN RD,COLUMBIA,CT,6237
"BRODERICK LAW FIRM, LLC",757946,MICHAEL BRODERICK III,MICHAEL BRODERICK III,08/21/2003,Active,Domestic Limited Liability Company,"585 PARK ROAD  9-8, P.O. BOX 375, P.O. BOX 375",WATERBURY,CT,6708
BRODEUR LAW FIRM LLC,1193947,APRIL E. BRODEUR,"GARVEY, STEELE & BANCROFT, LLP",12/31/2015,Active,Domestic Limited Liability Company,73 MAIN STREET,MIDDLETOWN,CT,6457
"BRODIE'S LAW PRODUCTIONS, LLC",892419,"MACHINE MADE PRODUCTIONS, LLC",HARRISON KORDESTANI,03/08/2007,Active,Domestic Limited Liability Company,"76 PROGRESS DR, C/O CT FILM CENTER",STAMFORD,CT,6902
"BROOKS LAW, PLLC",1319657,ALEXIS C. BROOKS,ALEXIS C. BROOKS,08/27/2019,Active,Domestic Limited Liability Company,"320 POST ROAD, SUITE 180 HAYVN",DARIEN,CT,6820
"BROTHER IN LAWS, LLC",1149617,KADIR VARAL,KADIR VARAL,07/21/2014,Active,Domestic Limited Liability Company,817 SUCCESS AVE.,STRATFORD,CT,6614
BROTHER-IN-LAWS MASONARY LLC,749262,"ALCIDIO C. JUNCO, DINARTE CASIMIRO","MITCHEL SEIDMAN, CPA",05/19/2003,Active,Domestic Limited Liability Company,7 CRESTWOOD ROAD,DANBURY,CT,6811
"BROTHERS AND LAWS INVESTMENTS, LLC",682849,DAVID R. SIMKO,FRANK S. MARCUCCI,05/31/2001,Dissolved,Domestic Limited Liability Company,925 DUNBAR HILL ROAD,HAMDEN,CT,6514
BROTHERS IN LAW FLOOR COVERING LLC,521770,,FRANK BELZER,09/05/1995,Forfeited,Domestic Limited Liability Company,32 VALLEY VIEW ROAD,WOODSTOCK,CT,6281
BROTHERS LAW MOTORSPORTS LLC,898232,RICHARD P. GILLESPIE,RICHARD P. GILLESPIE,05/02/2007,Dissolved,Domestic Limited Liability Company,13 MIDDLE FIELD RD,DURHAM,CT,6422
BROWN LAW LLC,1268681,CHRISTOPHER G BROWN,CHRISTOPHER G BROWN,03/31/2018,Active,Domestic Limited Liability Company,25 SLAWSON COURT,WILTON,CT,6897
BRUCE BENNETT LAW P.C.,1210286,,BRUCE BENNETT,07/05/2016,Active,Domestic Stock Corporation,,,,
"BRYANT LAW, A PROFESSIONAL CORPORATION",605582,SUSAN E. BRYANT,SUSAN E. BRYANT,10/29/1998,Dissolved,Domestic Stock Corporation,2 FOREST PARK DRIVE,FARMINGTON,CT,6032
"BULKOVITCH LAW, LLC",1182693,"LINDA A. BULKOVITCH, ESQ.",LINDA A. BULKOVITCH ESQ.,08/03/2015,Active,Domestic Limited Liability Company,9 AUSTIN DRIVE #202,MARLBOROUGH,CT,6447
"BUONICONTI & BUONICONTI LAW OFFICES, INC.",776325,"MICHAEL D BUONICONTI, NORMA JEANNE BUONICONTI",SECRETARY OF THE STATE,03/17/2004,Withdrawn,Foreign Stock Corporation,66 PUFFER LANE,SUDBURY,MA,1776
"BURKE K BARR, ATTORNEY AT LAW, PLLC",1248535,BURKE K BARR,JAKE S KANTROW,08/28/2017,Active,Domestic Limited Liability Company,57 WALNUT DRIVE,UPPER SADDLE RIVER,NJ,7458
"BURNS AND CONDIO, ATTORNEYS AT LAW, LLC",727865,ELLEN M. BURNS,FRANCES J. BURNS,10/02/2002,Dissolved,Domestic Limited Liability Company,"843 MAIN STREET, P.O. BOX 175",MANCHESTER,CT,6045
"BURT M. HOFFMAN, ATTORNEY AT LAW, L.L.C.",589660,BURT M. HOFFMAN,BURT M. HOFFMAN,04/17/1998,Active,Domestic Limited Liability Company,1234 SUMMER ST.,STAMFORD,CT,6905
"BUSCA LAW FIRM, L.L.C.",829649,"MORRIS J. BUSCA, ESQ.","MORRIS J. BUSCA, ESQ.",08/04/2005,Active,Domestic Limited Liability Company,"300 STATE STREET, SUITE 315-316",NEW LONDON,CT,6320
BUSHKA LAW PLLC,1332382,TERRY BUSHKA,CALABRESE LAW PLLC,01/08/2020,Active,Domestic Limited Liability Company,305 FAIRFIELD AVENUE,WATERBURY,CT,6708
"BUSINESS GROUP LAW CENTER, LLC",683235,FRANCIS E. D'URSO,FRANCIS E. D'URSO,06/05/2001,Active,Domestic Limited Liability Company,27 LITTLE MEADOW RD,GUILFORD,CT,6437
"BUSINESS LAW GROUP, LLC",894593,BRUCE L. GALARO,RICHARD M. NEVILLE,03/29/2007,Active,Domestic Limited Liability Company,"2139 W. COUGAR ROCK CIRCLE, BLDG 210",ST. GEORGE,UT,84770
BYRNE ESTATE AND ELDER LAW PLLC,1341603,ELIZABETH N BYRNE,MATTHEW A. BYRNE,04/14/2020,Active,Domestic Limited Liability Company,"101 CENTERPOINT DRIVE, SUITE 243",MIDDLETOWN,CT,6457
"CAFERO LAW AND STRATEGIES, LLC",1175545,"LAWRENCE F. CAFERO, JR.","LAWRENCE F. CAFERO, JR.",05/19/2015,Active,Domestic Limited Liability Company,10 BYINGTON PLACE,NORWALK,CT,6850
"CAHILL LAW OFFICES, LLC",853298,GARY P. CAHILL,GARY P. CAHILL,03/15/2006,Active,Domestic Limited Liability Company,"525 BRIDGEPORT AVENUE, SUITE 201",SHELTON,CT,6484
CALABRESE LAW PLLC,1245879,DOMENICK N CALABRESE,DOMENICK N CALABRESE,07/28/2017,Active,Domestic Limited Liability Company,"601 QUASSAPAUG ROAD, SUITE A",WATERTOWN,CT,6795
"CALI & POL, ATTORNEYS AT LAW, LLC",980605,"ALFRED J. CALI, JOSE A. POL",ALFRED J. CALI,08/19/2009,Active,Domestic Limited Liability Company,"1187 BROAD STREET, SECOND FLOOR",BRIDGEPORT,CT,6604
"CAMPBELL LAW FIRM, LLC",1200432,ANDREW J. CAMPBELL,ANDREW J. CAMPBELL,03/09/2016,Active,Domestic Limited Liability Company,131 MONTOWESE ST,BRANFORD,CT,6405
"CAMPBELL LAW OFFICES, LLC",945953,LINDA S. CAMPBELL,LINDA SIMMONS CAMPBELL,08/05/2008,Active,Domestic Limited Liability Company,4 DEER AVENUE,BURLINGTON,CT,6013
"CANDACE E. HOLMES, ATTORNEY AT LAW, LLC",647672,,"REID AND RIEGE, P.C.",03/29/2000,Dissolved,Domestic Limited Liability Company,408 HARTFORD AVENUE,WETHERSFIELD,CT,6109
"CANDACE V. FAY - ATTORNEY & COUNSELOR AT LAW, PC",1068370,CANDACE V. FAY,CANDACE V. FAY,04/13/2012,Active,Domestic Stock Corporation,118 COALPIT HILL ROAD,DANBURY,CT,6810
"CANDELLA LAW OFFICES, LLC",907102,DONNA J. CANDELLA,DONNA J. CANDELLA,07/25/2007,Active,Domestic Limited Liability Company,37 RAYRON CIRCLE,NAUGATUCK,CT,6770
"CANNATELLI LAW, LLC",1210492,FRANK P. CANNATELLI,FRANK P. CANNATELLI,06/10/2016,Active,Domestic Limited Liability Company,8 RESEARCH PARKWAY,WALLINGFORD,CT,6492
"CAPOZZOLI LAW, LLC",1259163,VINCENZO CAPOZZOLI,VINCENZO CAPOZZOLI,12/30/2017,Active,Domestic Limited Liability Company,12 SCOFIELD PLACE,NORWALK,CT,6855
"CAPUTI LAW, LLC",1177205,JENNIFER L. CAPUTI,SECRETARY OF THE STATE OF CONNECTICUT,05/15/2015,Withdrawn,Foreign Limited Liability Company,"200 MIDWAY ROAD, SUITE 163",CRANSTON,RI,2920
"CARBUTTI LAW FIRM, LLC",868347,MARK R. CARBUTTI,"MARK R. CARBUTTI, ESQ.",08/03/2006,Active,Domestic Limited Liability Company,91 SOUTH MAIN ST,WALLINGFORD,CT,6492
"CAREY LAW, LLC",1125286,KATHLEEN E. CAREY,KATHLEEN E. CAREY,12/02/2013,Active,Domestic Limited Liability Company,"1880 SILAS DEANE HIGHWAY, STE 201",ROCKY HILL,CT,6067
"CAREY LAW OFFICE, P.C.",293008,"AUSTIN CAREY, JR., LYNNE M. CAREY","AUSTIN CAREY, JR",12/20/1993,Dissolved,Domestic Stock Corporation,20 BIRCH ROAD,WEST HARTFORD,CT,6119
"CARM A. MEARS, ATTORNEY AT LAW, LLC",651590,,CARM A. MEARS,05/15/2000,Dissolved,Domestic Limited Liability Company,145 GRISSOM ROAD,MANCHESTER,CT,6040
"CARON LAW OFFICES, LLC",1093784,MICHAEL J. CARON,MICHAEL J. CARON,01/16/2013,Dissolved,Domestic Limited Liability Company,"74 NEW LONDON TURNPIKE, STE. 6",GLASTONBURY,CT,6033
"CARSWELL LAW OFFICES, LLC",707396,"BEVERLY G. CARSWELL, ESQ.","NATIONAL REGISTERED AGENTS, INC.",03/04/2002,Active,Domestic Limited Liability Company,840 CLINTON AVENUE,BRIDGEPORT,CT,6608
CASE LAW FIRM,1221751,,,11/03/2016,Recorded,General Partnership,"900 BOSTON POST ROAD, SUITE 28",OLD SAYBROOK,CT,6475
"CASE LAW FIRM, LLC",1320687,"MOLLY CASE, TINA CASE",MOLLY CASE,09/09/2019,Active,Domestic Limited Liability Company,"36 MAIN STREET, SUITE 8",EAST HAVEN,CT,6512
CASE - LAW LLC,956156,EDWARD W. CASE,EDWARD WILLIAM CASE,11/25/2008,Active,Domestic Limited Liability Company,"28 ARCH STREET, 28 ARCH STREET",BURLINGTON,CT,6013
CASEY LAW OFFICE LLC,1057519,KEVIN CASEY,KEVIN M. CASEY,12/28/2011,Active,Domestic Limited Liability Company,71 LOOMIS DR,WEST HARTFORD,CT,6107
"CASINI LAW FIRM, LLC",1274153,KEVIN CASINI,KEVIN CASINI,05/22/2018,Active,Domestic Limited Liability Company,"43 CHESTNUT STREET, UNIT 50",NEW HAVEN,CT,6511
"CASSARINO LAW OFFICES, LLC",861527,JAMI A. CASSARINO,JAMI A. CASSARINO,05/30/2006,Active,Domestic Limited Liability Company,"192 MAIN STREET, SUITE 11",BRISTOL,CT,6010
CATHERINE M. BRENNAN ATTORNEY AT LAW LLC,857364,CATHERINE M. BRENNAN,CATHERINE M. BRENNAN,04/24/2006,Active,Domestic Limited Liability Company,"34 EAST PUTNAM AVENUE, SUITE 103, SUITE 103",GREENWICH,CT,6830
"CATHLEEN A. SIMPSON, ATTORNEY AT LAW LLC",1210895,CATHLEEN A. SIMPSON,"LEGALCORP SOLUTIONS, LLC",07/12/2016,Active,Domestic Limited Liability Company,115 BALMFORTH STREETBRIDGEPORT,BRIDGEPORT,CT,6605
"CBS LAW, PLLC",1271210,COURTNEY STEIN ELGORT,COURTNEY STEIN ELGORT,04/25/2018,Active,Domestic Limited Liability Company,27 PHEASANT HILL ROAD,WESTON,CT,6883
"CELLEMME LAW, LLC",874251,"ANDREW R. CELLEMME, PAMELA L. CELLEMME",ANDREW R. CELLEMME,09/28/2006,Active,Domestic Limited Liability Company,9 CHADWICK PLACE,NIANTIC,CT,6357
CENEVIVA LAW FIRM LLC,1024400,"ARIANA F. CENEVIVA, DENNIS A. CENEVIVA",DENNIS A.L CENEVIVA,12/28/2010,Active,Domestic Limited Liability Company,721 BROAD STREET,MERIDEN,CT,6450
"CENTER FOR ELDER LAW, LIFE & LEGACY, LLC",894881,KIMBERLY A. HOWLAND,"KIMBERLY A. HOWLAND, ESQ",04/02/2007,Dissolved,Domestic Limited Liability Company,137 WEST LANE,GUILFORD,CT,6437
"CENTER FOR LAW AND SOCIAL SERVICES, INC.",1003613,,"THE LAW OFFICES OF JALOWIEC & ZECK, LLC",05/04/2010,Active,Domestic Non-Stock Corporation,,,,
"CERA LAW FIRM, P.C.",781912,RHONDA F. CERA,RHONDA F. CERA,04/20/2004,Dissolved,Domestic Stock Corporation,1156 WALES PLACE,CARDIFF,CA,92007
"CERVONI LAW OFFICE, LLC",1078309,VINCENT CERVONI,VINCENT CERVONI,07/19/2012,Active,Domestic Limited Liability Company,221 NORTH MAIN STREET,WALLINGFORD,CT,6492
"CHALUMEAU LAW GROUP, LLC",1056783,ALICIA P. CHALUMEAU,ALICIA P. CHALUMEAU,12/20/2011,Active,Domestic Limited Liability Company,"40 RICHARDS AVENUE, 7TH FLOOR",NORWALK,CT,6854
CHAMBERS LAW OFFICES LLC,918203,JEANETTE T. CHAMBERS,JEANETTE T. CHAMBERS,11/06/2007,Active,Domestic Limited Liability Company,"655 BLUE HILLS AVENUE, P.O. BOX 4520",HARTFORD,CT,6147
"CHARLES D. O'HARA, JR., P.C. ATTORNEY AT LAW",612817,"CHARLES D. O'HARA, JR.","CHARLES D. O'HARA, JR.",02/01/1999,Active,Domestic Stock Corporation,799 SILVER LANE,TRUMBULL,CT,6611
"CHARLES F. BROWER, ATTORNEY AT LAW, LLC",1037887,CHARLES F. BROWER,CHARLES F. BROWER,05/16/2011,Active,Domestic Limited Liability Company,445 PROSPECT STREET,TORRINGTON,CT,6790
CHARLES GOETSCH LAW OFFICES LLC,1096259,CHARLES C. GOETSCH,CHARLES C. GOETSCH,01/28/2013,Active,Domestic Limited Liability Company,11 YOWAGO AVE,BRANFORD,CT,6405
"CHARLES J. RIETHER, ATTORNEY AT LAW, LLC",550350,,CHARLES J. RIETHER,12/20/1996,Dissolved,Domestic Limited Liability Company,31 BROADWAY,NORTH HAVEN,CT,6473
"CHARLES K. THOMPSON ATTORNEY AT LAW, LLC",1120561,CHARLES KEY THOMPSON III,CHARLES KEY THOMPSON III,10/04/2013,Active,Domestic Limited Liability Company,85 WEST MAIN ST.,MERIDEN,CT,6450
CHARLESWORTH & POMPANO LAW OFFICES PARTNERSHIP,1327979,,,11/19/2019,Active,General Partnership,47 LAWRENCE STREET,NEW HAVEN,CT,6511
"CHARTER OAK LAW GROUP, LLC",1180450,"EDWARD M BARRON, MARY ANNE A CHARRON",MARY ANNE A. CHARRON,07/01/2015,Active,Domestic Limited Liability Company,"34 JEROME AVENUE, SUITE 120, SUITE 120",BLOOMFIELD,CT,6002
"CHARTER OAK LAW, P.C.",69462,"COLEMAN B. LEVY, DANIEL E. KLEINMAN, JOHN F. DRONEY, JR.",COLEMAN B. LEVY,01/02/1974,Dissolved,Domestic Stock Corporation,20 CHURCH STREET,HARTFORD,CT,6103
"CHAUDRY IMMIGRATION LAW, LLC",904628,RABIA CHAUDRY,RABIA CHAUDRY,06/27/2007,Active,Domestic Limited Liability Company,3 BARNARD LANE,BLOOMFIELD,CT,6002
CHENETTE LAW OFFICES LLC,974586,CHRISTOPHER T. CHENETTE,CHRISTOPHER T. CHENETTE,06/12/2009,Active,Domestic Limited Liability Company,"76 WATERTOWN ROAD, SUITE 2H",THOMASTON,CT,6787
CHESTNUT LAW LLC,994727,PETER S. OLSON,PETER S. OLSON,01/29/2010,Active,Domestic Limited Liability Company,275 GREENWOOD AVENUE,BETHEL,CT,6801
"CHIARELLI LAW FIRM, P.C.",269261,"JOSEPH CHIARELLI, MARIA CHIARELLI",JOSEPH CHIARELLI,01/10/1992,Active,Domestic Stock Corporation,"LAUREL SQ. #5, 3190 WHITNEY AVE.",HAMDEN,CT,6518
"CHILDREN'S LAW CENTER, INC. THE",291674,"JONATHAN FINK, LAURA POST, PAMELA MAGNANO, TIMOTHY BUCKLEY",RANDA R. HOJAIBAN,10/15/1993,Active,Domestic Non-Stock Corporation,"30 ARBOR STREET, SUITE 208",HARTFORD,CT,6106
CHIOFFI LAW LLC,1123343,MARK P CHIOFFI,MARK P CHIOFFI,11/06/2013,Active,Domestic Limited Liability Company,55 GREENS FARMS ROAD,WESTPORT,CT,6880
CHRIS WHALLEY LAW PLLC,1307759,CHRISTOPHER J. WHALLEY,CHRISTOPHER J. WHALLEY,04/29/2019,Active,Domestic Limited Liability Company,15 ARDMORE ROAD,WEST HARTFORD,CT,6119
"CHUN LAW FIRM, LLC",1072124,SHEILA CHUN,SHEILA CHUN,05/14/2012,Active,Domestic Limited Liability Company,108 CHARTER OAK DRIVE,NEW CANAAN,CT,6840
"CHURCHILL LAW GROUP, LLC",1145042,JESSE CHURCHILL CLARK,JESSE CHURCHILL CLARK,06/02/2014,Active,Domestic Limited Liability Company,543 PROSPECT AVE,WEST HARTFORD,CT,6105
"CIRELLI MUSIC & MEDIA LAW, LLC",1230805,"MICHAEL A. CIRELLI, SR.","MICHAEL CIRELLI, ESQ.",02/23/2017,Active,Domestic Limited Liability Company,82 MELODY LANE,FAIRFIELD,CT,6824
CKR LAW LLP,1159515,,MARK CRONE,11/12/2014,Active,Foreign Limited Liability Partnership,"488 MADISON AVENUE, 12TH FLOOR",NEW YORK,NY,10022
"CKW LAW OFFICE, LLC",626949,,SANDRA J. CROWELL,07/30/1999,Dissolved,Domestic Limited Liability Company,"120 LEDGE ROAD, PO BOX 113",PLAINVILLE,CT,6062
"CLARISSA LEE LAW GROUP, L.L.C.",1227001,CLARISSA LEE,CLARISSA C. MATTHEWS,01/13/2017,Active,Domestic Limited Liability Company,"20 CHURCH ST., FL M",HARTFORD,CT,6103
"CLARK LAW FIRM, LLC",1197503,STEVEN A. CLARK,STEVEN A. CLARK,02/04/2016,Dissolved,Domestic Limited Liability Company,1 WEST SUSSEX PLACE,MADISON,CT,6443
CLINTON LAW OFFICE LLC,975138,SARA CLINTON,SARA CLINTON,06/17/2009,Active,Domestic Limited Liability Company,248 BEDFORD RD,GREENWICH,CT,6831
"COHEN CONSUMER LAW, LLC",1179821,JOSHUA RI COHEN,SECRETARY OF THE STATE OF CONNECTICUT,06/29/2015,Active,Foreign Limited Liability Company,"194 RT 100, UNIT G",WEST DOVER,VT,5356
"COLLA LAW, PLLC",1295431,"RAYMOND A. COLLA, JR.","RAYMOND A. COLLA, JR.",01/09/2019,Active,Domestic Limited Liability Company,701 HEBRON AVENUE,GLASTONBURY,CT,6033
"COLLIER AT LAW, LLC",1028305,DAVID B. COLLIER,DAVID BEEBE COLLIER,02/08/2011,Active,Domestic Limited Liability Company,164 HEMPSTEAD STREET,NEW LONDON,CT,6320
"COLLINS LAW FIRM, P.C.",551080,"MADALYN TEDONE, MATTHEW J. COLLINS, WILLIAM B. COLLINS",MATTHEW J. COLLINS,01/02/1997,Dissolved,Domestic Stock Corporation,357 E. CENTER ST.,MANCHESTER,CT,6040
"COLLINS LAW OFFICE, LLC",840290,TIMOTHY R. COLLINS,SECRETARY OF THE STATE,11/15/2005,Active,Foreign Limited Liability Company,"85 NORTHPOINTE PARKWAY, SUITE 6",EAST AMHERST,NY,14228
COLLINS LAW PRACTICE LLC,1340338,BRUCE COLLINS,BRUCE A. COLLINS,03/25/2020,Active,Domestic Limited Liability Company,7 TAM TASHUA DRIVE,TRUMBULL,CT,6611
"COLONIAL LAW GROUP, LLC",1246613,CRAIG HORVATH,C T CORPORATION SYSTEM,08/07/2017,Active,Foreign Limited Liability Company,"1 OXFORD CENTER, 301 GRANT STREET, #4300",PITTSBURGH,PA,15219
"COLSON LAW FIRM, LLC",930378,MARK D. COLSON,MARK D COLSON,03/03/2008,Active,Domestic Limited Liability Company,40 RUSS STREET,HARTFORD,CT,6106
"COMMITTEE FOR FAIR DIVORCE AND ALIMONY LAWS, INC.",52877,,JOSEPH R CHRISTONI,01/20/1969,Forfeited,Domestic Non-Stock Corporation,"JOSEPH R CHRISTONI, SPRING STREET",WALLINGFORD,CT,6492
"COMMON LAW, LLC",848612,PIERRE CALMELS,PIERRE CALMELS,02/07/2006,Dissolved,Domestic Limited Liability Company,657 SOUTH BRITAIN ROAD,SOUTHBURY,CT,6488
"COMMUNITY LAW PRACTICE, INC.",750964,,JOHN P. GIOVANNUCCI,06/05/2003,Dissolved,Domestic Non-Stock Corporation,2065-A MAIN STREET,HARTFORD,CT,6120
"COMMUNITY LAW PRACTICE, LLC",666116,LOWELL L. PETERSON,LOWELL L. PETERSON,11/15/2000,Dissolved,Domestic Limited Liability Company,699 BLOOMFIELD AVENUE,BLOOMFIELD,CT,6002
"COMPASS LAW GROUP, PLLC",1337280,VINCENT MARINO,VINCENT M. MARINO,02/22/2020,Active,Domestic Limited Liability Company,657 ORANGE CENTER ROAD,ORANGE,CT,6477
"COMPLETE SERVICE LAW, LLC",1229148,"FRANCISCO CARDONA, ESQ.",LINE STAVELAND,02/04/2017,Active,Domestic Limited Liability Company,"19 HIGH RIDGE ROAD, #8210",STAMFORD,CT,6905
"COMPUTER LAW GROUP, INC. THE",152184,,CHARLES P. LICKSON,01/26/1984,Forfeited,Domestic Stock Corporation,,,,
"CONNECTICUT ALLIANCE TO BENEFIT LAW ENFORCEMENT, INCORPORATED",707911,"ALAN ATHERTON, CMDR. JOHN RICH, KATHY FLAHERTY, LOUISE C. PYERS, LT. SEAN GRANT, LT. SHAUN MCCOLGAN, OFFICER SUE BOWMAN, PHYLLIS PAVLIK SPALLONE, TERESA VELEZ",LOUISE C. PYERS,03/07/2002,Active,Domestic Non-Stock Corporation,82 COTTONWOOD ROAD,NEWINGTON,CT,6111
"CONNECTICUT AUTO ACCIDENT LAW  GROUP, L.L.C.",1270676,MATTHEW  MADDOX,MATTHEW M. MADDOX,04/19/2018,Active,Domestic Limited Liability Company,"125 ELM STREET, 125 ELM STREET",NEW CANAAN,CT,6840
"CONNECTICUT CHAPTER OF NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES, INC.",220276,,JESSE CAMPBELL,07/06/1988,Forfeited,Domestic Non-Stock Corporation,9 WARBLER CIRCLE,BLOOMFIELD,CT,6002
"CONNECTICUT CHAPTER OF THE NATIONAL ACADEMY OF ELDER LAW ATTORNEYS, INC.",856210,"AMY ORLANDO, EDWARD G. LANG, ELIZABETH N. BYRNE, HENRY C. WEATHERBY, STEVEN RUBIN",ELIZABETH N. BYRNE,04/10/2006,Active,Domestic Non-Stock Corporation,"C/O ELIZABETH N. BYRNE, 141 BROAD ST.",MIDDLETOWN,CT,6457
"CONNECTICUT CHAPTER OF THE NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES (NOBLE), INC",1017999,,RONNELL HIGGINS,10/14/2010,Active,Domestic Non-Stock Corporation,,,,
"CONNECTICUT COURT LAW ENFORCEMENT OFFICER'S ORGANIZATION, CORP.",762498,,LUIS BLASINI,10/09/2003,Active,Domestic Non-Stock Corporation,,,,
"CONNECTICUT CRIMINAL DEFENSE LAW GROUP, L.L.C.",1270675,MATTHEW  MADDOX,MATTHEW M. MADDOX,04/19/2018,Active,Domestic Limited Liability Company,"125 ELM STREET, 125 ELM STREET",NEW CANAAN,CT,6840
"CONNECTICUT CRIMINAL LAW FOUNDATION, INC.",54832,,MILTON A FISHMAN,07/08/1974,Forfeited,Domestic Non-Stock Corporation,"MILTON A FISHMAN, 169 SCHOOL ST,APT 3A",HAMDEN,CT,6518
"CONNECTICUT FEDERAL LAW ENFORCEMENT OFFICERS' BENEVOLENT ASSOCIATION, INC.",730679,"KEVIN STACK, MICHAEL CAISSE, MICHAEL J. NATHANSON",MICHAEL J. NATHANSON,11/07/2002,Active,Domestic Non-Stock Corporation,13 JOHNSON DRIVE,DANBURY,CT,6811
"CONNECTICUT INTELLECTUAL PROPERTY LAW ASSOCIATION, INCORPORATED",53260,"ANNE MAXWELL, BENJAMIN C. WHITE, BENJAMIN J. LEHBERGER, ERICA DORSEY, GRANT EHRLICH, IAN J.S. LODOVICE, JEFFREY J. SCEPANSKI, J. ROBERT DEAN, JR., MICHAEL CARTONA, RAYMOND ZENKERT, SCOTT LYDON",STEPHEN P MCNAMARA,10/20/1947,Active,Domestic Non-Stock Corporation,"20 CHURCH ST., 22ND FLOOR",HARTFORD,CT,6103
